,Club,Leauge,Attack,Midfield,Defence,Overall
1,Paris Saint-Germain,France Ligue 1 (1),89,82,84,85
2,Liverpool,England Premier League (1),86,84,85,85
3,Manchester City,England Premier League (1),84,87,86,85
4,Bayern München,Germany 1. Bundesliga (1),92,85,82,84
5,Real Madrid,Spain Primera División (1),85,86,83,84
6,Chelsea,England Premier League (1),84,85,83,84
7,Atlético de Madrid,Spain Primera División (1),84,82,82,83
8,FC Barcelona,Spain Primera División (1),83,85,81,83
9,Manchester United,England Premier League (1),82,83,81,83
10,Inter,Italy Serie A (1),82,82,83,82
11,Juventus,Italy Serie A (1),81,81,82,82
12,Borussia Dortmund,Germany 1. Bundesliga (1),83,81,81,81
13,Tottenham Hotspur,England Premier League (1),83,81,78,81
14,Sevilla FC,Spain Primera División (1),81,81,83,81
15,Milan,Italy Serie A (1),81,80,80,81
16,RB Leipzig,Germany 1. Bundesliga (1),82,81,79,80
17,Napoli,Italy Serie A (1),82,80,77,80
18,Bergamo Calcio,Italy Serie A (1),82,79,79,80
19,Real Sociedad,Spain Primera División (1),81,81,78,80
20,Villarreal CF,Spain Primera División (1),81,79,79,80
21,Leicester City,England Premier League (1),80,80,78,80
22,Arsenal,England Premier League (1),77,80,77,80
23,Bayer 04 Leverkusen,Germany 1. Bundesliga (1),83,79,78,79
24,Ajax,Holland Eredivisie (1),82,77,80,79
25,Real Betis Balompié,Spain Primera División (1),80,79,78,79
26,West Ham United,England Premier League (1),80,79,77,79
27,Latium,Italy Serie A (1),79,81,78,79
28,Sporting CP,Portugal Primeira Liga (1),79,80,78,79
29,Roma,Italy Serie A (1),79,79,78,79
30,Athletic Club de Bilbao,Spain Primera División (1),78,77,79,79
